x_id,x_kind,disposition,pressure_id,source_id,model_path,instance_id,instance_version,value,provenance,custody,invariant_check_ids,enforcement_reality,open_pressure_disposition,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator
core.Event.relations.caused_by,Event,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Event.relations.caused_by,"EV-002,EV-003,EV-004,EV-006,EV-008,EV-009",1,"non-empty on 22/32; one-way, served by index",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"forge comments, git commits, Unimatrix cycle",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Event.relations.correlated_with,Event,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Event.relations.correlated_with,"EV-010,EV-011,EV-012,EV-013,EV-014,EV-019",1,"non-empty on 7/32; one-way, served by index",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"forge comments, git commits, Unimatrix cycle",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Event.relations.supersedes,Event,not-applicable,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Event.relations.supersedes,none,not-applicable,empty on every instance - no historical occurrence,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"forge comments, git commits, Unimatrix cycle",see instance + wfh-008-validate.py output,specified-not-enforced,missing-history,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Event.extension_owner.event_type,Event,exercised,PR-I19-BINDING-ALTITUDE,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Event.extension_owner.event_type,registry_extensions,1,owner=registry; exercised by the program-owned registry extensions in this instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"forge comments, git commits, Unimatrix cycle",see instance + wfh-008-validate.py output,specified-not-enforced,S6: I19 binds from Workflow only,model-defect,"I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
core.Event.open[0],Event,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Event.open[0],none,not-applicable,durable identity threshold,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"forge comments, git commits, Unimatrix cycle",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Event.open[1],Event,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Event.open[1],none,not-applicable,admission,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"forge comments, git commits, Unimatrix cycle",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Event.open[2],Event,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Event.open[2],none,not-applicable,retention,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"forge comments, git commits, Unimatrix cycle",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Event.open[3],Event,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Event.open[3],none,not-applicable,ordering and clock semantics,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"forge comments, git commits, Unimatrix cycle",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.versioned,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.versioned,"RC-SCOPE,RC-W1,RC-W2",1,versioned=True; the checker enforces presence/absence of a version on every instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.identity,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.identity,"RC-SCOPE,RC-W1,RC-W2",1,identity=record_id; opaque ids in the instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.form,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.form,"RC-SCOPE,RC-W1,RC-W2",1,form=entity,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,not-applicable,S3: form is undocumented in notation,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.status,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.status,none,not-applicable,"model status=OPEN; consumed as test input, not as permission to fill holes",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,not-applicable,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.invariants,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.invariants,none,not-applicable,"cites ['I2', 'I3', 'I8']",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,see the invariant rows,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.category,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.category,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.category_schema_version,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.category_schema_version,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.scope_ref,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.scope_ref,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.author_or_source_ref,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.author_or_source_ref,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.created_at,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.created_at,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.content_digest,Record,construct-pressure,PR-RECORD-DIGEST,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.content_digest,"RC-SCOPE,RC-W1,RC-UNI-316,RC-ISSUE-66,RC-CYCLE",1,"real sha256 on 11 file-backed Records; SENTINEL on 11 service-backed Records because Unimatrix, the forge and the cycle service expose no content digest",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,pressure,model-defect; project-evolution-candidate,"Record.content_digest is a required digest. Eleven of the 22 Record instances cannot supply one: Unimatrix exposes no content digest through its read API, the forge exposes none for an Issue, and the cycle service exposes none. The overwritten skill state was never captured at all. Sentinels are written and every one is reported by the checker as MODEL-FORCED-APPROXIMATION.",HALF REPRESENTABLE: file-backed Records carry real sha256 values; every service-backed Record cannot.,expose a content digest on knowledge-node reads,"a digest is what lets a later reader prove a cited node is the node that was cited; the run's own goal-owner re-read #316-#319 and could verify ids, status and edges but not content - it says so explicitly",preserves; a digest adds verifiability and moves no authority,"a change to a service outside this repository, which this scope cannot cost and must not recommend building",the Unimatrix read API; out of this repository,partially,yes,Record.content_digest becomes satisfiable for knowledge nodes,"whether the model should relax content_digest to optional for externally-custodied Records, or the stores should expose one, is not decidable from one case"
core.Record.fields.epistemic_kind,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.epistemic_kind,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.evidence_altitude,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.evidence_altitude,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.lifecycle_state,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.lifecycle_state,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.currentness,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.currentness,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.provenance_refs,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.provenance_refs,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,set on 24/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.fields.missing_or_unavailable_refs,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.fields.missing_or_unavailable_refs,"RC-W1,RC-W2,RC-W6,RC-COV-R1,RC-COV-R2,RC-REPORT",1,set on 12/24 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.relations.documents,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.relations.documents,"RC-SCOPE,RC-COV-R1,RC-COV-R2,RC-REPORT,RC-RELEVANCE,RC-ISSUE-66",1,"non-empty on 8/24; declared inverse, closed mechanically",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.relations.admitted_by,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.relations.admitted_by,"RC-SCOPE,RC-W1,RC-W2,RC-W3,RC-W4,RC-W5",1,"non-empty on 16/24; one-way, served by index",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.relations.supersedes,Record,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.relations.supersedes,"RC-COV-R2,RC-UNI-316",1,"non-empty on 2/24; one-way, served by index",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.extension_owner.schema,Record,exercised,PR-I19-BINDING-ALTITUDE,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.extension_owner.schema,registry_extensions,1,owner=category; exercised by the program-owned registry extensions in this instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,S6: I19 binds from Workflow only,model-defect,"I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
core.Record.extension_owner.admission,Record,exercised,PR-I19-BINDING-ALTITUDE,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.extension_owner.admission,registry_extensions,1,owner=category; exercised by the program-owned registry extensions in this instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,S6: I19 binds from Workflow only,model-defect,"I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
core.Record.extension_owner.retrieval,Record,exercised,PR-I19-BINDING-ALTITUDE,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.extension_owner.retrieval,registry_extensions,1,owner=category; exercised by the program-owned registry extensions in this instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,S6: I19 binds from Workflow only,model-defect,"I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
core.Record.extension_owner.lifecycle,Record,exercised,PR-I19-BINDING-ALTITUDE,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.extension_owner.lifecycle,registry_extensions,1,owner=category; exercised by the program-owned registry extensions in this instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,S6: I19 binds from Workflow only,model-defect,"I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
core.Record.extension_owner.correction,Record,exercised,PR-I19-BINDING-ALTITUDE,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.extension_owner.correction,registry_extensions,1,owner=category; exercised by the program-owned registry extensions in this instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,specified-not-enforced,S6: I19 binds from Workflow only,model-defect,"I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,yes,not-applicable,not-applicable,not-applicable
core.Record.open[0],Record,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.open[0],none,not-applicable,Category configuration,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.open[1],Record,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.open[1],none,not-applicable,admission rules,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Record.open[2],Record,construct-pressure,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",core.Record.open[2],none,not-applicable,lesson-learned versus pattern boundary,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),"git for file-backed, Unimatrix/forge for service-backed",see instance + wfh-008-validate.py output,not-applicable,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.versioned,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.versioned,WF-RESEARCH-SCOPE,1,versioned=True; the checker enforces presence/absence of a version on every instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,mechanically checkable and checked,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.identity,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.identity,WF-RESEARCH-SCOPE,1,identity=workflow_id; opaque ids in the instance,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.form,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.form,WF-RESEARCH-SCOPE,1,form=entity,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,not-applicable,S3: form is undocumented in notation,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.status,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.status,none,not-applicable,"model status=OPEN; consumed as test input, not as permission to fill holes",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,not-applicable,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.owner,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.owner,none,not-applicable,owner=Program,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,specified-not-enforced,S3: owner is undocumented in notation,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.invariants,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.invariants,none,not-applicable,"cites ['I18', 'I19']",wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,see the invariant rows,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.fields.name,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.fields.name,WF-RESEARCH-SCOPE,1,set on 1/1 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.fields.method_statement,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.fields.method_statement,WF-RESEARCH-SCOPE,1,set on 1/1 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.fields.owner_scope_ref,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.fields.owner_scope_ref,WF-RESEARCH-SCOPE,1,set on 1/1 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting.Workflow.fields.unit_kinds,Workflow,exercised,not-applicable,"R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02",supporting.Workflow.fields.unit_kinds,WF-RESEARCH-SCOPE,1,set on 1/1 instances,wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive),git .claude/ - inside the governed repository,see instance + wfh-008-validate.py output,specified-not-enforced,n/a,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
