fixture_id,x_item,model_path,mutation,violated_rule,expected_rejection_point,expected_check_kind,mechanizability,actual_result,checker_output,illustrative_output,operationalization,evidence_path,note
F-E20,I13 — every Capability is required by at least one Goal,core.Capability.relations.required_by,remove the requiring Goal from a Capability,I13; cardinality 1..*; rule 'no requiring Goal means no Capability',"CK-CARD, CK-I13",mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Capability/SYN-CP-1.required_by: 0 target(s), cardinality 1..* requires >= 1; [CK-I13] Capability/SYN-CP-1: no requiring Goal — I13",,none,artifacts/rejection-results.csv,"the cleanest invariant in the model: stated as an invariant, carried by a cardinality, and restated as a relation rule — three consistent expressions of one constraint"
F-E21,I14 — Capability meaning does not change with organizational level,invariants.I14,add a second version of one Capability identity at the collective Scope with a different observable_behavior,I14,CK-I14-MEANING,mechanical,operationalizable(O12),rejected-mechanically,[CK-I14-MEANING] Capability identity SYN-CP-1: 2 versions with differing observable_behavior — I14 (O12),,O12 — 'meaning' operationalized as observable_behavior string equality; M01 supplies no comparison and no version field to key the comparison on,artifacts/rejection-results.csv,
F-E22,I15 / I16 — Unit identity survives retry; a new Unit only on outcome change,core.Unit.relations.replaces.rule,model a retry as a replacing Unit carrying an identical intended_outcome,I15; Unit.replaces rule 'used when intended outcome changes',CK-REPLACES-OUTCOME,mechanical,operationalizable(O7),rejected-mechanically,[CK-REPLACES-OUTCOME] Unit/SYN-UN-1b replaces SYN-UN-1 with an identical intended_outcome — Unit.replaces rule is 'used when intended outcome changes' (O7),,O7 — intended_outcome string equality,artifacts/rejection-results.csv,retry-versus-rework separability (review concern 5) has a real mechanical foothold here
F-E23,I15 clause 2 — each execution is an Attempt,invariants.I15,not constructible,I15 clause 2,"none — Unit.attempts is 0..*, so a Unit with no Attempt is conforming, and an execution that produced no Attempt record leaves nothing to inspect",judgment,not-mechanizable,not-falsifiable-from-alphabet,no fixture constructible,,none,findings-W3-rejection-suite.md,
F-E24,I16 — changing a Unit's intended outcome creates a new Unit,invariants.I16,give one Unit identity two versions with different intended_outcome,I16,CK-I16-VERSION,mechanical,operationalizable(O8),rejected-mechanically,[CK-I16-VERSION] Unit identity SYN-UN-1: 2 versions with differing intended_outcome — I16 requires a new Unit (O8),,"O8 — the check needs an identity key AND a version key; M01 declares `versioned: true` on Unit and NO version field, so the version axis is supplied by the instance encoding, not by the model",artifacts/rejection-results.csv,
F-E25,I17 attenuation — effect_grants axis,supporting.Delegation.relations.derived_from.rule,give the derived Delegation an effect grant its parent does not hold,I17; derived_from rule 'may not exceed parent on any axis',CK-ATTENUATION-GRANTS,mechanical,operationalizable(O9),rejected-mechanically,[CK-ATTENUATION-GRANTS] Delegation/SYN-DL-DYN: effect_grants ['credential-issue'] exceed parent SYN-DL-STANDING grants ['repository-write'] — I17 (O9),,O9 — 'not exceeding' on a set-valued axis read as set inclusion. This is the ONLY one of the Delegation's four axes on which the comparison is defined at all.,artifacts/rejection-results.csv,
F-E26,I17 attenuation — autonomy_tier axis,values.autonomy_tier,derive an A5 Delegation from an A1 parent,I17 — may not exceed its parent on any axis,"none — M01 declares A0..A5 as a MAP of definitions and states no ordering over them, so 'exceeds' is undefined on this axis",mechanical,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,ADVERSE — HEADLINE. A5 is `held_by: human` and defined as changing collective policy and authority structures; A1 is bounded judgment inside one Unit. The model admits an instance in which the second derives the first. `open.delegation_attenuation` names the comparison problem for non-numeric grants and this is its sharpest instance: the numbering LOOKS ordinal and the model never says it is.
F-E27,I17 attenuation — resource_ceiling axis,supporting.Delegation.fields.resource_ceiling,derive a Delegation whose resource_ceiling exceeds its parent's on every key,I17 — may not exceed its parent on any axis,none — resource_ceiling is type map with no declared interior,mechanical,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,the parent grants external_cost 0 / compute none; the child grants 500 and unlimited
F-E28,I17 chain — authority reaches an Actor through a chain from a Scope root,invariants.I17,have an Actor grant a Delegation with no derivation and no root authority,I17 clause 2; Actor.receives rule; Delegation.grantor rule,CK-AUTHORITY-CHAIN,mechanical,operationalizable(O10),rejected-mechanically,[CK-AUTHORITY-CHAIN] Delegation/SYN-DL-DYN: grantor chain does not reach any Scope.authority_root_ref ['SYN-AC-OWNER'] — I17 (O10),,O10 — chain = grantor/derived_from must reach some Scope.authority_root_ref,artifacts/rejection-results.csv,the chain clause of I17 IS traversable and checkable; the attenuation clause is not. S4's 'can the clauses fail independently' test is vindicated here by execution.
F-E29,I18 clause 1 — Workflow custody sits outside the governed activity,supporting.Workflow.fields.definition_custodian_ref,make the executing agent the custodian of the Workflow that governs its own Unit,I18; method_custody principle,CK-CUSTODY-OUTSIDE,judgment,operationalizable(O11),rejected-mechanically,[CK-CUSTODY-OUTSIDE] Workflow/SYN-WF-A: custodian SYN-AC-AGENT is an Attempt actor on governed Unit SYN-UN-1 — I18 (O11),,"O11 — 'the governed activity' operationalized as the actors of Attempts on governed Units. M01 never defines the phrase, so a different program could operationalize it differently and reach a different verdict on the same instance.",artifacts/rejection-results.csv,the check is constructible ONLY because definition_custodian_ref is ref<Actor> and Attempt.actors is ref<Actor>; if either were text (as Event.custody and EffectBoundary.custody are) it would be unreachable
F-E30,I18 clause 1 — Gate custody,supporting.Gate.fields.definition_custodian_ref,make an Attempt participant the custodian of the Gate that evaluates its Unit,I18,CK-CUSTODY-OUTSIDE,judgment,operationalizable(O11),rejected-mechanically,[CK-CUSTODY-OUTSIDE] Gate/SYN-GT-1: custodian SYN-AC-REVIEWER is an Attempt actor on gated Unit SYN-UN-1 — I18 (O11),,O11,artifacts/rejection-results.csv,
F-E31,I18 clause 1 — Delegation custody,supporting.Delegation.fields.definition_custodian_ref,make the governed Attempt's own actor the custodian of the governing Delegation,I18; 'a definition governing work is not writable by the activity it governs',CK-CUSTODY-OUTSIDE,judgment,operationalizable(O11),rejected-mechanically,[CK-CUSTODY-OUTSIDE] Delegation/SYN-DL-DYN: custodian SYN-AC-AGENT is an actor on governed Attempt SYN-AT-1 — I18 (O11),,O11,artifacts/rejection-results.csv,
F-E32,I18 clause 2 — changes are adaptation Events,invariants.I18,not constructible,I18 clause 2,"none — twelve constructs declare `versioned: true` and NOT ONE declares a version field, so there is no instance value a change could be detected in",mechanical,not-mechanizable,not-falsifiable-from-alphabet,no fixture constructible,,none,findings-W3-rejection-suite.md,"ADVERSE-ADJACENT and load-bearing beyond I18: Attempt.governed_by's rule 'pins immutable versions' and the assessment extension's `gate_version_ref` both REQUIRE a version identifier the model never declares. Three dependent rules, no carrier."
F-E33,I19 — program extensions may not weaken common invariants,invariants.I19,register a record_category whose admission_rule declares that existence is admission,I19; I2 — existence and admission are independent facts,none — every registry admission_rule and every registered admission_rule is free text,judgment,not-mechanizable,specified-not-enforced,ACCEPTED,,none,artifacts/rejection-results.csv,"I19 is the invariant that guards every other invariant against the registries, and it is the least checkable thing in the file. S6 (I19 cited by Workflow alone) is the binding half of the same problem; this fixture is the semantic half."
F-F01,core.Unit.extension_owner.states: workflow,core.Unit.fields.current_state,set a Unit's current_state to a value outside its Workflow's state_vocabulary,Unit.current_state definition 'Workflow-owned'; extension_owner.states: workflow; I19,CK-UNIT-STATE,mechanical,operationalizable(O5),rejected-mechanically,"[CK-UNIT-STATE] Unit/SYN-UN-1: current_state 'under-review' not in SYN-WF-A.state_vocabulary ['scoped', 'in-progress', 'gated', 'closed'] (O5)",,O5 — M01 states the ownership and never states the membership rule,artifacts/rejection-results.csv,"this is the strongest extension-ownership result in the suite: ownership is asserted on Unit, the vocabulary lives on Workflow, and joining them takes one unstated sentence"
F-F02,registries.event_type.seeded.gate_outcome.rule (the R2 addition),registries.event_type.seeded.gate_outcome.rule,issue a gate_outcome whose outcome is not in the pinned Gate's allowed_outcomes,gate_outcome rule — outcome vocabulary resolves through the assessment's pinned gate_version_ref to that Gate version's allowed_outcomes,CK-GATE-OUTCOME-VOCAB,mechanical,determined-by-M01,rejected-mechanically,"[CK-GATE-OUTCOME-VOCAB] Event/SYN-EV-4: outcome 'approved' not in SYN-GT-1.allowed_outcomes ['pass', 'reworkable', 'scope-fail']",,resolution of gate_version_ref requires reading inside Event.extension (an opaque map) and tolerating a version suffix the model provides no field for,artifacts/rejection-results.csv,"the R2 addition is the ONLY rule in M01 that spells out a multi-hop resolution path, and it is the only Event-layer VALUE check that works. It also demonstrates the fix pattern the rest of the Event layer is missing."
F-F03,assessment.gate_version_ref resolution,registries.event_type.seeded.assessment.required_extension.gate_version_ref,point gate_version_ref at a Gate that does not exist,gate_outcome resolution rule,CK-GATE-OUTCOME-VOCAB,mechanical,determined-by-M01,rejected-mechanically,[CK-GATE-OUTCOME-VOCAB] Event/SYN-EV-4: gate_version_ref 'SYN-GT-9@1' does not resolve to a Gate,,none,artifacts/rejection-results.csv,
F-F04,core.Record.relations.admitted_by rule,core.Record.relations.admitted_by.rule,admit a Record by a decision Event,admitted_by rule — assessment Events only; existence is not admission,CK-ADMIT-ASSESSMENT,mechanical,determined-by-M01,rejected-mechanically,[CK-ADMIT-ASSESSMENT] Record/SYN-RC-1: admitted_by SYN-EV-1 is event_type 'decision'; the relation rule is 'assessment Events only',,none,artifacts/rejection-results.csv,a relation rule that names a registry key is checkable; a relation rule that names a semantic property is not. This is the discriminator across all 20 relation rules in M01.
F-F05,core.Event.fields.authority_ref definition (conditional requirement),core.Event.fields.authority_ref,delete authority_ref from a decision Event,field definition — required for decisions and effect requests,CK-EVENT-AUTHORITY,mechanical,determined-by-M01,rejected-mechanically,[CK-EVENT-AUTHORITY] Event/SYN-EV-1 (decision): authority_ref absent; the field definition requires it for decisions and effect requests,,"the conditional is stated in a `definition:` string rather than in `required:`, so a naive schema generator would miss it entirely",artifacts/rejection-results.csv,
F-F06,core.Capability.extension_owner.behavior_schema: program,core.Capability.extension_owner,carry the program-owned behavior_schema extension the ownership map names,closure (O1) — Capability declares no field or relation named behavior_schema,CK-FIELD-UNKNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-FIELD-UNKNOWN] Capability/SYN-CP-1: undeclared field 'behavior_schema' (O1),,O1,artifacts/rejection-results.csv,"ADVERSE-ADJACENT. 13 of 19 extension_owner keys name no field or relation on their own construct, so the extension a program is told it owns has nowhere to live. R3's local checkability argument is only half-delivered: the ownership is local, the extension point is absent."
F-G01,core.Event.fields.custody (type: text),core.Event.fields.custody,record custody as the empty string,none stated — custody is unconstrained text,none,judgment,not-mechanizable,not-falsifiable-from-alphabet,ACCEPTED,,none,artifacts/rejection-results.csv,"three custody surfaces exist — Event.custody (text), EffectBoundary.custody (text) and definition_custodian_ref (ref<Actor>). Only the typed one supports any check (F-E29..31)."
F-G02,supporting.EffectBoundary.fields.custody (type: text),supporting.EffectBoundary.fields.custody,declare the boundary's credentials to be held by the executing agent itself,method_custody / authority_chain principles; the theme's load-bearing boundary that effect credentials stay outside the governed activity,"none — custody is free text on EffectBoundary, and the boundary has no relation to any Actor",judgment,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,"ADVERSE. An instance can state in conforming, typed-clean data that the governed agent holds the effect credentials. The one distinction the theme calls load-bearing is written in prose on the one construct whose job is to enforce it."
F-H01,excluded — Feature as a construct,excluded[0],introduce a Feature construct,excluded — Feature is a software unit_kind,CK-CONSTRUCT-KNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-CONSTRUCT-KNOWN] undeclared construct 'Feature' (O1 closure),,O1,artifacts/rejection-results.csv,"negative dependency shown by the baseline: the change-shaped work is carried by unit_kind `change`, so no instance depends on a Feature construct"
F-H02,excluded — Qualification as a construct,excluded[1],introduce a Qualification construct,excluded — evidence belongs to Actor-has-Skill,CK-CONSTRUCT-KNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-CONSTRUCT-KNOWN] undeclared construct 'Qualification' (O1 closure),,O1,artifacts/rejection-results.csv,"negative dependency: the baseline carries competence evidence as attributes on Actor.has_skill / Skill.held_by (evidence_refs, grade, currentness, expires_at)"
F-H03,excluded — Envelope as a construct,excluded[2],introduce an Envelope construct,excluded — limits travel with Delegation,CK-CONSTRUCT-KNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-CONSTRUCT-KNOWN] undeclared construct 'Envelope' (O1 closure),,O1,artifacts/rejection-results.csv,"negative dependency: limits are carried by Delegation.resource_ceiling, escalation_conditions, effect_grants and autonomy_tier"
F-H04,excluded — AuthorityBasis as a construct,excluded[3],introduce an AuthorityBasis construct,excluded — authority is rooted in Scope or conveyed by Delegation,CK-CONSTRUCT-KNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-CONSTRUCT-KNOWN] undeclared construct 'AuthorityBasis' (O1 closure),,O1,artifacts/rejection-results.csv,negative dependency: T-07 traverses Scope.authority_root_ref and Delegation.derived_from with no basis construct
F-H05,excluded — EvidenceItem as a construct,excluded[4],introduce an EvidenceItem construct,excluded — evidence is a Record role under a Gate,CK-CONSTRUCT-KNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-CONSTRUCT-KNOWN] undeclared construct 'EvidenceItem' (O1 closure),,O1,artifacts/rejection-results.csv,negative dependency: evidence appears as Records in Gate.eligible_evidence and in the assessment's evidence_set — though both are untyped (F-E11)
F-H06,excluded — RecordVersion as a construct,excluded[5],introduce a RecordVersion construct,excluded — versions belong to Record identity,CK-CONSTRUCT-KNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-CONSTRUCT-KNOWN] undeclared construct 'RecordVersion' (O1 closure),,O1,artifacts/rejection-results.csv,"the exclusion holds, but see F-E32: 'versions belong to Record identity' is asserted by `versioned: true` and carried by no field"
F-H07,excluded — Signal/Decision/Transition/Assessment/Outcome/EffectRequest/EffectReceipt,excluded[6],introduce a Decision construct,excluded — all are Events,CK-CONSTRUCT-KNOWN,mechanical,operationalizable(O1),rejected-mechanically,[CK-CONSTRUCT-KNOWN] undeclared construct 'Decision' (O1 closure),,O1,artifacts/rejection-results.csv,"negative dependency: all seven are exercised as seeded event types in the baseline (SYN-EV-1..9), which covers 9 of 9 seeded event types"
F-H08,excluded — Attempt as a Unit subtype,excluded[8],register a unit_kind named `attempt`,excluded — Attempt as Unit subtype,"none — registry admission is prose, and nothing compares a registered key against the exclusion list",judgment,not-mechanizable,specified-not-enforced,ACCEPTED,,none,artifacts/rejection-results.csv,pairs with F-A17/F-E08: an exclusion is mechanically enforced when the construct set is closed and unenforced when the registry is the door
F-H09,excluded — lesson as an Event type (registered form),excluded[8],"REGISTER `lesson` as an event_type, then emit one",excluded — lesson as Event type; open.lesson_vs_pattern,none — the registry admits it,judgment,not-mechanizable,accepted-defect,ACCEPTED,,none,artifacts/rejection-results.csv,"ADVERSE, and the sharpest exclusion pair in the suite: F-A17 (unregistered `lesson`) is rejected mechanically and F-H09 (registered `lesson`) is accepted silently. The difference is one registry write by the program the exclusion is meant to bind."
F-H10,"excluded — a universal lifecycle, state machine, proof bar or closed extension taxonomy",excluded[9],not constructible,excluded[9],"none — the exclusion forbids the model from containing something, not an instance from containing something",judgment,not-mechanizable,not-falsifiable-from-alphabet,no fixture constructible,,none,findings-W3-rejection-suite.md,"verified against M01 directly instead: no construct declares a state enumeration (Unit.current_state and Record.lifecycle_state are text, owned by Workflow and Category), and all six registries and three catalogs carry an admission_rule and status OPEN"
F-H11,excluded — autonomy as effect authority or evidence strength,excluded[10],covered by F-E17 (autonomy carries an ungranted effect) and F-E26 (autonomy escalates without an order),excluded[10]; I12,"see F-E17, F-E26",mechanical,not-mechanizable,accepted-defect,no fixture constructible,,none,artifacts/rejection-results.csv,the exclusion is honoured in the SHAPE (autonomy_tier and effect_grants are separate fields) and unenforced in the VALUES (nothing stops a request outside the grant)
F-B01,declared inverse Scope.parent <-> Scope.contains,Scope.relations.parent.inverse,break the inverse: remove the back-reference from Scope/SYN-SC-COLL.contains,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Scope.parent SYN-SC-PROG->SYN-SC-COLL has no inverse edge Scope.contains; [CK-INVERSE] Scope.parent SYN-SC-PROG->SYN-SC-COLL has no forward edge Scope.contains,,none,artifacts/rejection-results.csv,deleting the back-edge on Scope.contains
F-B02,declared inverse Goal.requires <-> Capability.required_by,Goal.relations.requires.inverse,break the inverse: remove the back-reference from Capability/SYN-CP-1.required_by,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Capability/SYN-CP-1.required_by: 0 target(s), cardinality 1..* requires >= 1; [CK-INVERSE] Goal.requires SYN-GO-1->SYN-CP-1 has no inverse edge Capability.required_by; [CK-INVERSE] Goal.requires SYN-GO-1->SYN-CP-1 has no forward edge Capability.required_by; [CK-I13] Capability/SYN-CP-1: no requiring Goal — I13",,none,artifacts/rejection-results.csv,deleting the back-edge on Capability.required_by; CK-CARD also fires because Capability.required_by has minimum cardinality 1
F-B03,declared inverse Goal.is_advanced_by <-> Capability.advances,Goal.relations.is_advanced_by.inverse,break the inverse: remove the back-reference from Capability/SYN-CP-1.advances,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Goal.is_advanced_by SYN-GO-1->SYN-CP-1 has no inverse edge Capability.advances; [CK-INVERSE] Goal.is_advanced_by SYN-GO-1->SYN-CP-1 has no forward edge Capability.advances,,none,artifacts/rejection-results.csv,deleting the back-edge on Capability.advances
F-B04,declared inverse Goal.directs <-> Unit.directed_by,Goal.relations.directs.inverse,break the inverse: remove the back-reference from Unit/SYN-UN-1.directed_by,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Goal.directs SYN-GO-1->SYN-UN-1 has no inverse edge Unit.directed_by; [CK-INVERSE] Goal.directs SYN-GO-1->SYN-UN-1 has no forward edge Unit.directed_by,,none,artifacts/rejection-results.csv,deleting the back-edge on Unit.directed_by
F-B05,declared inverse Capability.delivered_by <-> Unit.delivers,Capability.relations.delivered_by.inverse,break the inverse: remove the back-reference from Unit/SYN-UN-1.delivers,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Capability.delivered_by SYN-CP-1->SYN-UN-1 has no inverse edge Unit.delivers; [CK-INVERSE] Capability.delivered_by SYN-CP-1->SYN-UN-1 has no forward edge Unit.delivers,,none,artifacts/rejection-results.csv,deleting the back-edge on Unit.delivers
F-B06,declared inverse Capability.enabled_by <-> Technology.enables,Capability.relations.enabled_by.inverse,break the inverse: remove the back-reference from Technology/SYN-TE-1.enables,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Capability.enabled_by SYN-CP-1->SYN-TE-1 has no inverse edge Technology.enables; [CK-INVERSE] Capability.enabled_by SYN-CP-1->SYN-TE-1 has no forward edge Technology.enables,,none,artifacts/rejection-results.csv,deleting the back-edge on Technology.enables
F-B07,declared inverse Actor.has_skill <-> Skill.held_by,Actor.relations.has_skill.inverse,break the inverse: remove the back-reference from Skill/SYN-SK-1.held_by,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Actor.has_skill SYN-AC-AGENT->SYN-SK-1 has no inverse edge Skill.held_by; [CK-INVERSE] Actor.has_skill SYN-AC-AGENT->SYN-SK-1 has no forward edge Skill.held_by,,none,artifacts/rejection-results.csv,deleting the back-edge on Skill.held_by
F-B08,declared inverse Unit.follows <-> Workflow.governs,Unit.relations.follows.inverse,break the inverse: remove the back-reference from Workflow/SYN-WF-A.governs,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Unit.follows SYN-UN-1->SYN-WF-A has no inverse edge Workflow.governs; [CK-INVERSE] Unit.follows SYN-UN-1->SYN-WF-A has no forward edge Workflow.governs,,none,artifacts/rejection-results.csv,deleting the back-edge on Workflow.governs
F-B09,declared inverse Unit.attempts <-> Attempt.unit,Unit.relations.attempts.inverse,break the inverse: remove the back-reference from Attempt/SYN-AT-1.unit,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Attempt/SYN-AT-1.unit: 0 target(s), cardinality 1 requires >= 1; [CK-INVERSE] Unit.attempts SYN-UN-1->SYN-AT-1 has no inverse edge Attempt.unit; [CK-INVERSE] Unit.attempts SYN-UN-1->SYN-AT-1 has no forward edge Attempt.unit",,none,artifacts/rejection-results.csv,deleting the back-edge on Attempt.unit; CK-CARD also fires because Attempt.unit has minimum cardinality 1
F-B10,declared inverse Unit.assigned_through <-> Delegation.unit,Unit.relations.assigned_through.inverse,break the inverse: remove the back-reference from Delegation/SYN-DL-DYN.unit,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Unit.assigned_through SYN-UN-1->SYN-DL-DYN has no inverse edge Delegation.unit; [CK-INVERSE] Unit.assigned_through SYN-UN-1->SYN-DL-DYN has no forward edge Delegation.unit,,none,artifacts/rejection-results.csv,deleting the back-edge on Delegation.unit
F-B11,declared inverse Unit.gated_by <-> Gate.evaluates,Unit.relations.gated_by.inverse,break the inverse: remove the back-reference from Gate/SYN-GT-1.evaluates,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Unit.gated_by SYN-UN-1->SYN-GT-1 has no inverse edge Gate.evaluates; [CK-INVERSE] Unit.gated_by SYN-UN-1->SYN-GT-1 has no forward edge Gate.evaluates,,none,artifacts/rejection-results.csv,deleting the back-edge on Gate.evaluates
F-B12,declared inverse Event.documented_by <-> Record.documents,Event.relations.documented_by.inverse,break the inverse: remove the back-reference from Record/SYN-RC-1.documents,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Event.documented_by SYN-EV-2->SYN-RC-1 has no inverse edge Record.documents; [CK-INVERSE] Event.documented_by SYN-EV-2->SYN-RC-1 has no forward edge Record.documents,,none,artifacts/rejection-results.csv,deleting the back-edge on Record.documents
F-B13,declared inverse Workflow.requires <-> Skill.required_by,Workflow.relations.requires.inverse,break the inverse: remove the back-reference from Skill/SYN-SK-1.required_by,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Workflow.requires SYN-WF-A->SYN-SK-1 has no inverse edge Skill.required_by,,none,artifacts/rejection-results.csv,deleting the back-edge on Skill.required_by
F-B14,declared inverse Workflow.binds <-> Gate.bound_by,Workflow.relations.binds.inverse,break the inverse: remove the back-reference from Gate/SYN-GT-1.bound_by,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Workflow.binds SYN-WF-A->SYN-GT-1 has no inverse edge Gate.bound_by; [CK-INVERSE] Workflow.binds SYN-WF-A->SYN-GT-1 has no forward edge Gate.bound_by,,none,artifacts/rejection-results.csv,deleting the back-edge on Gate.bound_by
F-B15,declared inverse Role.requires <-> Skill.required_by,Role.relations.requires.inverse,break the inverse: remove the back-reference from Skill/SYN-SK-1.required_by,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Role.requires SYN-RL-EXEC->SYN-SK-1 has no inverse edge Skill.required_by,,none,artifacts/rejection-results.csv,deleting the back-edge on Skill.required_by
F-B16,declared inverse Role.assigned_to <-> Actor.holds_role,Role.relations.assigned_to.inverse,break the inverse: remove the back-reference from Actor/SYN-AC-LEAD.holds_role,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Role.assigned_to SYN-RL-EXEC->SYN-AC-LEAD has no inverse edge Actor.holds_role,,none,artifacts/rejection-results.csv,deleting the back-edge on Actor.holds_role
F-B17,declared inverse Role.receives <-> Delegation.grantee,Role.relations.receives.inverse,break the inverse: remove the back-reference from Delegation/SYN-DL-STANDING.grantee,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Delegation/SYN-DL-STANDING.grantee: 0 target(s), cardinality 1 requires >= 1; [CK-INVERSE] Role.receives SYN-RL-EXEC->SYN-DL-STANDING has no inverse edge Delegation.grantee",,none,artifacts/rejection-results.csv,deleting the back-edge on Delegation.grantee; CK-CARD also fires because Delegation.grantee has minimum cardinality 1
F-B18,declared inverse Delegation.governs <-> Attempt.governed_by,Delegation.relations.governs.inverse,break the inverse: remove the back-reference from Attempt/SYN-AT-2.governed_by,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,"[CK-CARD] Attempt/SYN-AT-2.governed_by: 0 target(s), cardinality 1..* requires >= 1; [CK-INVERSE] Delegation.governs SYN-DL-STANDING->SYN-AT-2 has no inverse edge Attempt.governed_by; [CK-INVERSE] Delegation.governs SYN-DL-STANDING->SYN-AT-2 has no forward edge Attempt.governed_by",,none,artifacts/rejection-results.csv,deleting the back-edge on Attempt.governed_by; CK-CARD also fires because Attempt.governed_by has minimum cardinality 1
F-B19,declared inverse Delegation.enforced_by <-> EffectBoundary.enforces,Delegation.relations.enforced_by.inverse,break the inverse: remove the back-reference from EffectBoundary/SYN-EB-FORGE.enforces,declared inverse symmetry (principles.inverse_relations),CK-INVERSE,mechanical,determined-by-M01,rejected-mechanically,[CK-INVERSE] Delegation.enforced_by SYN-DL-STANDING->SYN-EB-FORGE has no inverse edge EffectBoundary.enforces; [CK-INVERSE] Delegation.enforced_by SYN-DL-STANDING->SYN-EB-FORGE has no forward edge EffectBoundary.enforces,,none,artifacts/rejection-results.csv,deleting the back-edge on EffectBoundary.enforces
