x_class,model_path,disposition,instance_ref,value_or_witness,provenance,custody,applicable_checks,enforcement_reality,open_pressure_disposition,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator
core-field,core.Event.fields.carrier,exercised,"EV-05,EV-08,EV-21","inline (EV-05, no record), record-ref (EV-08 -> RC-08), artifact-ref (EV-21 -> merge commit). · MEASURED 28/30 Event objects populate `carrier`.",derived,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Event.fields.custody,exercised,"EV-05,EV-21,EV-30","Three custody values in one case: external forge (EV-21), git (EV-06), and none at all (EV-05, EV-30). · MEASURED 28/30 Event objects populate `custody`.",derived,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Event.fields.extension,exercised,EV-07..EV-30,Every event type's required_extension attempted; assessment.independence_check and gate_outcome.missingness are missing-history throughout. · MEASURED 28/30 Event objects populate `extension`.,derived,see instance,not-applicable,none - no common checker implements this model,not-applicable,historical-evidence-gap,No gate report in the case states an independence check or a missingness policy outcome.,represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
core-relation,core.Event.relations.documented_by,exercised,EV-01..EV-30,"MEASURED 19/30 Event objects populate `documented_by` (EV-01, EV-02, EV-03, EV-04, EV-06, ...). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Event.relations.documented_by.cardinality,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-inverse,core.Event.relations.documented_by.inverse,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Event.relations.caused_by,exercised,EV-21 caused_by EV-20; EV-23 caused_by EV-21,Demonstrated causal chain: request -> merge disposition -> issue-close disposition. · MEASURED 3/30 Event objects populate `caused_by`.,forge,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Event.relations.caused_by.cardinality,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Event.relations.correlated_with,not-applicable,not-applicable,no witness: the case supplies no pair that is correlated without being causally linked.,see instance,see instance,not-applicable,none - no common checker implements this model,not-exercised,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Event.relations.correlated_with.cardinality,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-rule,core.Event.relations.correlated_with.rule,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Event.relations.supersedes,not-applicable,EV-09/EV-10 -> EV-07/EV-08,"MEASURED 0/30 Event objects populate `supersedes` (zero). No correction-by-supersession occurred. The Gate-3a rework produced a NEW assessment/outcome pair (EV-07/EV-08) beside the abandoned EV-09/EV-10 rather than superseding them, and no Event carries the relation. The prior witness described that separation as though it were a witness FOR the relation; it is a witness for its absence.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Event.relations.supersedes.cardinality,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-rule,core.Event.relations.supersedes.rule,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-extension_owner,core.Event.extension_owner.event_type,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-invariant-binding,core.Event.invariants.I4,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-invariant-binding,core.Event.invariants.I5,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-invariant-binding,core.Event.invariants.I6,exercised,EV-01..EV-30,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-open,core.Event.open[0]:durable identity threshold,exercised,EV-05,"Exercised adversely: a consequential decision with no durable identity is exactly the case M01's threshold is meant to catch, and M01 gives no rule that would have required one.",see instance,see instance,not-applicable,none - no common checker implements this model,still-open,enforcement-gap,No mechanism assigns event identity in the observed project outside the forge.,specified-not-enforced,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
core-open,core.Event.open[1]:admission,exercised,RC-14,Record.admitted_by is empty for RC-14 and for every agent-report Record.,see instance,see instance,not-applicable,none - no common checker implements this model,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-open,core.Event.open[2]:retention,not-applicable,not-applicable,no retention policy or expiry observed.,see instance,see instance,not-applicable,none - no common checker implements this model,not-exercised,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-open,core.Event.open[3]:ordering and clock semantics,exercised,"EV-21,EV-23,GT-05","Exercised twice and it matters both times: the 2-second merge/issue-close lag establishes ordered-best-effort coupling, and the 843d0049-vs-RC-09 ordering is what makes GT-05's assessment unverifiable.",forge,see instance,not-applicable,none - no common checker implements this model,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Record.status,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Record.form,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Record.identity,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Record.versioned,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-attr,core.Record.definition,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.category,exercised,RC-01..RC-27,"MEASURED 27/27 Record objects populate `category` (RC-01, RC-02, RC-03, RC-04, RC-05, ...). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.category_schema_version,construct-pressure,RC-01..RC-24,missing-history on every non-forge Record; only RC-25/RC-26 have one ('GitHub REST v3').,missing,see instance,not-applicable,none - no common checker implements this model,not-applicable,historical-evidence-gap,"The project has no schema-version concept for its document categories. No independently-justified bounded change was identified, so no evolution candidate is asserted here.",represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.scope_ref,exercised,RC-01..RC-27,"MEASURED 27/27 Record objects populate `scope_ref` (RC-01, RC-02, RC-03, RC-04, RC-05, ...). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.author_or_source_ref,construct-pressure,"RC-11,RC-12,RC-19","Two-valued for every advisory review: 'AC-16 (declared) / dug-21 (forge-attributed)'. The field is a single text, so one of the two must be dropped or the split hidden in prose.",forge,see instance,not-applicable,none - no common checker implements this model,not-applicable,model-defect,"GitHub attributes comments 4898695344 / 4899256125 / 4900099734 to dug-21 while their bodies declare uni-zero-reviewer. M01 offers one text field and no attested/declared distinction, though Actor.declared_identity draws exactly that line one construct away.",represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,partial,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.created_at,exercised,RC-01..RC-27,"MEASURED 27/27 Record objects populate `created_at` (RC-01, RC-02, RC-03, RC-04, RC-05, ...). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.content_digest,exercised,RC-01..RC-27,Every repo-artifact Record is digestible as a git blob at 37c7b09a; forge records digest to the pinned JSON dumps. · MEASURED 27/27 Record objects populate `content_digest`.,forge,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.epistemic_kind,exercised,"RC-14,RC-25,RC-11","reported-observation (RC-14), mechanical-observation (RC-25/26), inference (RC-11/12/19), reviewed-finding (RC-08/09/10), claim (RC-01, agent reports). All five members witnessed. · MEASURED 27/27 Record objects populate `epistemic_kind`.",derived,see instance,I4,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.evidence_altitude,exercised,"RC-14,RC-26",behavioral for forge records and the test-observation report; directional for every design and review record. · MEASURED 27/27 Record objects populate `evidence_altitude`.,derived,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.lifecycle_state,exercised,RC-01..RC-27,"MEASURED 27/27 Record objects populate `lifecycle_state` (RC-01, RC-02, RC-03, RC-04, RC-05, ...). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.currentness,exercised,"RC-13,RC-20,RC-21,RC-23,RC-09",MODEL WIN. Four superseded and one stale Record are expressible with cited evidence; the project marks supersession in-band only on ADRs (RC-22). · MEASURED 27/27 Record objects populate `currentness`.,repo-artifact,see instance,not-applicable,none,not-applicable,project-evolution-candidate,RC-13/RC-20/RC-21/RC-23 describe the pre-reduction UN-01 and are committed unchanged in afaa8385 beside the reduced sources that contradict them; nothing distinguishes them.,represented-with-gap,[CF-01] Stamp agent/gate reports with the SCOPE digest they were written against; synthesizer stamps superseded_by when it regenerates after a scope change.,The project already pays this cost by hand: RC-03 records that pattern #5607 cites a now-stale vnc-045 instance and hands the retro a manual reconciliation.,"Additive metadata only; no proof bar, gate outcome or authority moves; superseded reports stay on disk, as ADRs already do (RC-22).",Low: two template lines plus one synthesizer step; no retro-stamping of history.,uni-design-protocol Phase 2c; uni-delivery-protocol report conventions; agents/*.md and reports/gate-*.md templates,true,true,retain,not-applicable
core-field,core.Record.fields.provenance_refs,exercised,RC-01..RC-27,"MEASURED 25/27 Record objects populate `provenance_refs` (RC-01, RC-02, RC-03, RC-04, RC-05, ...). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-field,core.Record.fields.missing_or_unavailable_refs,exercised,"RC-14,RC-01,RC-09","Carries the three unretained runner outputs (RC-14), the two absent research FINDINGS (RC-01), and the unretained cargo output (RC-09). This optional field is what keeps I8 honest in the instance. · MEASURED 3/27 Record objects populate `missing_or_unavailable_refs`.",derived,see instance,I8,none - no common checker implements this model,not-applicable,project-evolution-candidate|historical-evidence-gap,"RC-14 asserts 6961/0 and smoke 32/32 with no retained runner output; its own '12 -> 15 tools' claim is contradicted by the committed test_protocol.py diff (fourteen -> fifteen), as is the PR body's '13th tool'.",represented-with-gap,[CF-04] Retain the runner output (or its digest plus head/tail) beside RISK-COVERAGE-REPORT.md and cite it from the report's provenance line.,"The project treats a summary standing in for a record as a security defect for machine writes (R-03, the '{}' sentinel rule); the same standard on its own gate evidence would have caught a factual error that shipped.","Nothing removed, no bar lowered; honest about what it buys - reproducibility, not attestation, since capture custody is still the reporting actor's shell.",Low-moderate: repository growth per feature (mitigable by digest+truncation); one tester step; one template line.,uni-delivery-protocol Stage 3c and Cargo Output Truncation; product/features/{id}/testing/,true,true,retain,not-applicable
core-relation,core.Record.relations.documents,exercised,RC-01..RC-27,"MEASURED 13/27 Record objects populate `documents` (RC-01, RC-03, RC-07, RC-08, RC-09, ...). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-cardinality,core.Record.relations.documents.cardinality,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-inverse,core.Record.relations.documents.inverse,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Record.relations.admitted_by,exercised,"RC-04,RC-14",RC-04/RC-05 admitted by EV-08 (Gate 3a outcome). RC-14 admitted by NOTHING - and 'existence is not admission' is precisely the rule the 'Gate 3c PASS' claim breaks. · MEASURED 4/27 Record objects populate `admitted_by`.,forge,see instance,"I2,I8",none - no common checker implements this model,not-applicable,enforcement-gap|project-evolution-candidate|historical-evidence-gap,reports/gate-3c-report.md is absent at 37c7b09a while 153-of-226 sibling features at the same commit carry it; 'Gate 3c PASS' is claimed in the PR body and RC-10; the only Stage-3c record (RC-14) is authored by the tester under assessment.,reject,"[CF-05] Require the gate-3c report as a forge-side branch-protection check on main (preferred), or a human pre-merge checklist item against the file.","T01 already declares Gate 3c mandatory with an independent assessor and a fixed output path, and 153 of 226 feature directories produce it; the change makes an already-documented, already-normal behaviour non-bypassable.","Authority moves AWAY from the governed actors to an externally custodied boundary; no bar, outcome or consequence changes; an absent report blocks rather than auto-passes. Recorded risk: a file-exists predicate raises the cost of an unrecorded gate, it does not attest the assessment happened.",Moderate: repository-admin configuration plus a check script; changes the merge path for every feature; needs an exemption path for features with no Stage 3c.,GitHub branch protection on dug-21/unimatrix:main; a CI check script; uni-delivery-protocol Gate 3c and Phase 4,partial,true,retain,Whether the Gate 3c assessment occurred and went uncommitted is unresolvable from the fixed alphabet; no project change settles it retrospectively.
core-relation-cardinality,core.Record.relations.admitted_by.cardinality,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-rule,core.Record.relations.admitted_by.rule,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation,core.Record.relations.supersedes,exercised,RC-03 supersedes RC-13,"Correction never overwrites history - except that the project DID overwrite SCOPE.md in place, so RC-01 has no predecessor to point at. · MEASURED 1/27 Record objects populate `supersedes`.",repo-artifact,see instance,not-applicable,none - no common checker implements this model,not-applicable,project-evolution-candidate,RC-13/RC-20/RC-21/RC-23 describe the pre-reduction UN-01 and are committed unchanged in afaa8385 beside the reduced sources that contradict them; nothing distinguishes them.,represented-with-gap,[CF-01] Stamp agent/gate reports with the SCOPE digest they were written against; synthesizer stamps superseded_by when it regenerates after a scope change.,The project already pays this cost by hand: RC-03 records that pattern #5607 cites a now-stale vnc-045 instance and hands the retro a manual reconciliation.,"Additive metadata only; no proof bar, gate outcome or authority moves; superseded reports stay on disk, as ADRs already do (RC-22).",Low: two template lines plus one synthesizer step; no retro-stamping of history.,uni-design-protocol Phase 2c; uni-delivery-protocol report conventions; agents/*.md and reports/gate-*.md templates,true,true,retain,not-applicable
core-relation-cardinality,core.Record.relations.supersedes.cardinality,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-relation-rule,core.Record.relations.supersedes.rule,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-extension_owner,core.Record.extension_owner.schema,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-extension_owner,core.Record.extension_owner.admission,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-extension_owner,core.Record.extension_owner.retrieval,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-extension_owner,core.Record.extension_owner.lifecycle,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-extension_owner,core.Record.extension_owner.correction,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-invariant-binding,core.Record.invariants.I2,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-invariant-binding,core.Record.invariants.I3,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-invariant-binding,core.Record.invariants.I8,exercised,RC-01..RC-27,instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-open,core.Record.open[0]:Category configuration,exercised,registry_extensions.record_category,"Seven categories registered by behaviour, not label; agent-report and test-observation-report each earn existence on distinct lifecycle/epistemic behaviour.",see instance,see instance,not-applicable,none - no common checker implements this model,still-open,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core-open,core.Record.open[1]:admission rules,exercised,RC-14,"Two of seven categories have NO admission rule at all in the observed project (agent-report, advisory-review).",see instance,see instance,not-applicable,none - no common checker implements this model,still-open,enforcement-gap,Nothing admits an agent report; it is written and committed.,specified-not-enforced,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,true,not-applicable,not-applicable,not-applicable
core-open,core.Record.open[2]:lesson-learned versus pattern boundary,not-applicable,not-applicable,"not-applicable to this case: the software case produces patterns (#5612, #5613) and no lesson-learned; the alphabet contains neither node's content, so no behavioural distinction is observable. This OPEN belongs to W1's research case.",see instance,see instance,not-applicable,none - no common checker implements this model,not-exercised,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting-attr,supporting.Workflow.status,exercised,"WF-01,WF-02","M01 open.workflow_promotion is exercised affirmatively: the case is unencodable without Workflow. Stages, waves, gates, rework limits and state transitions all hang off it.",repo-artifact,see instance,not-applicable,none - no common checker implements this model,resolved-by-instance,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting-attr,supporting.Workflow.form,exercised,"WF-01,WF-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting-attr,supporting.Workflow.identity,exercised,"WF-01,WF-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting-attr,supporting.Workflow.versioned,exercised,"WF-01,WF-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting-attr,supporting.Workflow.definition,exercised,"WF-01,WF-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting-attr,supporting.Workflow.owner,exercised,"WF-01,WF-02",instantiated in vnc-045-instance.yaml,see instance,see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting-field,supporting.Workflow.fields.name,exercised,"WF-01,WF-02","MEASURED 2/2 Workflow objects populate `name` (WF-01, WF-02). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
supporting-field,supporting.Workflow.fields.method_statement,exercised,"WF-01,WF-02","MEASURED 2/2 Workflow objects populate `method_statement` (WF-01, WF-02). Prior boilerplate witness replaced by the measurement.",measured-join (vnc-045-instance.yaml),see instance,not-applicable,none - no common checker implements this model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
