x_id,x_class,row_scope,source_id,model_path,instance_id,instance_version,value,provenance,custody,invariant_check_ids,enforcement_reality,open_pressure_disposition,w1_disposition,w2_disposition,reconciled_disposition,divergence_class,divergence_adjudication,w3_fixture_ids,w3_results,w3_adverse,cause_classification,classification_evidence,current_project_fit,evolution_change,independent_reason,semantic_proof_authority_custody_preservation,migration_cost,affected_artifacts,current_form_representable,evolved_form_representable,post_evolution_fit,unresolved_discriminator,evolution_candidate_id,evolution_challenge_result,w4_adjudication
core.Capability.relations.enabled_by.cardinality,core-relation-cardinality,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.relations.enabled_by.cardinality,"[W2] CP-01,CP-02",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.relations.enabled_by.inverse,core-relation-inverse,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.relations.enabled_by.inverse,"[W2] CP-01,CP-02",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,[W3] F-B06,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",F-B06,rejected-mechanically,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.relations.enabled_by.rule,core-relation-rule,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.relations.enabled_by.rule,"[W2] CP-01,CP-02",not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,[W3] F-E15,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",F-E15,accepted-defect,accepted-defect,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,W3 ADVERSE at this path: F-E15=accepted-defect
core.Capability.extension_owner.behavior_schema,core-extension_owner,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.extension_owner.behavior_schema,"[W1] registry_extensions || [W2] CP-01,CP-02",1,[W1] owner=program; exercised by the program-owned registry extensions in this instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] none - no instance || [W2] see instance,[W1] see instance + wfh-008-validate.py output || [W3] F-F06,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] S6: I19 binds from Workflow only,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),F-F06,rejected-mechanically,not-applicable,model-defect,"[W1] I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","[W1] representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.extension_owner.evidence_bar,core-extension_owner,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.extension_owner.evidence_bar,"[W1] registry_extensions || [W2] CP-01,CP-02",1,[W1] owner=program; exercised by the program-owned registry extensions in this instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] none - no instance || [W2] see instance,[W1] see instance + wfh-008-validate.py output || [W3] F-F06,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] S6: I19 binds from Workflow only,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),F-F06,rejected-mechanically,not-applicable,model-defect,"[W1] I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","[W1] representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.extension_owner.classification,core-extension_owner,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.extension_owner.classification,"[W1] registry_extensions || [W2] CP-01,CP-02",1,[W1] owner=registry; exercised by the program-owned registry extensions in this instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] none - no instance || [W2] see instance,[W1] see instance + wfh-008-validate.py output || [W3] F-F06,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] S6: I19 binds from Workflow only,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),F-F06,rejected-mechanically,not-applicable,model-defect,"[W1] I19 (program extensions may not weaken common invariants) is cited by Workflow ALONE, yet this instance registers program-owned extensions on unit_kind, record_category, effect_class and event_type - owned by Workflow, Scope, Scope and the registry respectively. Three of the four owners are not Workflow, so nothing binds I19 to them. Review finding S6 raised exactly this and it is unresolved in the pinned file.","[W1] representable; the extensions conform, and no per-construct binding required them to",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.invariants.I9,core-invariant-binding,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.invariants.I9,"[W2] CP-01,CP-02",not-applicable,"[W1] cites ['I9', 'I13', 'I14'] || [W2] instantiated in vnc-045-instance.yaml",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] none - no instance || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] see the invariant rows || [W2] none - no common checker implements this model,[W1] n/a,not-applicable,exercised,exercised,divergent,"CASE-DIFFERENCE, not contradiction: one history supplies a witness and the other does not. Reconciled to `exercised` - the run as a whole has a witness. Neither case is corrected by the other.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.invariants.I13,core-invariant-binding,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.invariants.I13,"[W2] CP-01,CP-02",not-applicable,"[W1] cites ['I9', 'I13', 'I14'] || [W2] instantiated in vnc-045-instance.yaml",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] none - no instance || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] see the invariant rows || [W2] none - no common checker implements this model,[W1] n/a,not-applicable,exercised,exercised,divergent,"CASE-DIFFERENCE, not contradiction: one history supplies a witness and the other does not. Reconciled to `exercised` - the run as a whole has a witness. Neither case is corrected by the other.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.invariants.I14,core-invariant-binding,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.invariants.I14,"[W2] CP-01,CP-02",not-applicable,"[W1] cites ['I9', 'I13', 'I14'] || [W2] instantiated in vnc-045-instance.yaml",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] none - no instance || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] see the invariant rows || [W2] none - no common checker implements this model,[W1] n/a,not-applicable,exercised,exercised,divergent,"CASE-DIFFERENCE, not contradiction: one history supplies a witness and the other does not. Reconciled to `exercised` - the run as a whole has a witness. Neither case is corrected by the other.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Capability.open[0]:recursive evidence rollup,core-open,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.open[0]:recursive evidence rollup,not-applicable,not-applicable,[W1] recursive evidence rollup || [W2] no composed capability in the case.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] none - no instance || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] not-exercised || [W2] not-exercised,not-applicable,not-applicable,not-applicable,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,historical-evidence-gap|model-defect,"[W1] R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","[W1] NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",[W1] not-proposed,[W1] the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,[W1] no,not-applicable,not-applicable,"[W1] whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case",not-applicable,not-applicable,not-applicable
core.Capability.open[1]:parent-child done_when,core-open,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.open[1]:parent-child done_when,not-applicable,not-applicable,[W1] parent-child done_when || [W2] no capability hierarchy in the case.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] none - no instance || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] not-exercised || [W2] not-exercised,not-applicable,not-applicable,not-applicable,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,historical-evidence-gap|model-defect,"[W1] R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","[W1] NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",[W1] not-proposed,[W1] the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,[W1] no,not-applicable,not-applicable,"[W1] whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case",not-applicable,not-applicable,not-applicable
core.Capability.open[2]:Scope expiry,core-open,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Capability.open[2]:Scope expiry,"[W2] SC-03,CP-01",not-applicable,[W1] Scope expiry || [W2] SC-03 expired at issue close while CP-01 (scoped to SC-02) survives; the case shows mission expiry does not expire a program capability.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] forge,[W1] none - no instance || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] not-exercised || [W2] still-open,not-applicable,exercised,exercised,divergent,"CASE-DIFFERENCE, not contradiction: one history supplies a witness and the other does not. Reconciled to `exercised` - the run as a whole has a witness. Neither case is corrected by the other.",not-applicable,not-applicable,not-applicable,historical-evidence-gap|model-defect,"[W1] R01 states the capability target is 'proposed jurati-arch-002 - no Unimatrix capability id'. V5's Capability requires name, observable_behavior, scope_ref, done_when and grade. The alphabet supplies none of observable_behavior or done_when, and inventing them is forbidden. Capability also has no lifecycle_state field (Goal, Actor and Record all do) and no admissible 'proposed / not yet specified' state, so a Goal may name a capability target that the model cannot represent at all.","[W1] NOT REPRESENTABLE: zero Capability instances. I9, I13, I14, capability_classification, Capability.composed_of/prerequisite_of/delivered_by/enabled_by, Unit.delivers, Technology.enables and Goal.claim_floor are all VACUOUS in this case.",[W1] not-proposed,[W1] the only reason to invent an observable_behavior and a done_when here is to make V5 pass - the circular candidate the amendment forbids; see CF-REJECTED,not-applicable,not-applicable,not-applicable,[W1] no,not-applicable,not-applicable,"[W1] whether V5 needs a proposed/unspecified Capability state, or whether the project is right that a capability id is created only when a behavior is identified, is not decidable from one case",not-applicable,not-applicable,not-applicable
core.Actor.status,core-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.status,[W2] AC-01..AC-19,not-applicable,"[W1] model status=OPEN; consumed as test input, not as permission to fill holes || [W2] instantiated in vnc-045-instance.yaml",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] self-asserted; git author/committer and one forge account || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Actor.form,core-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.form,"[W1] AC-OWNER,AC-COORD,AC-LEAD-1 || [W2] AC-01..AC-19",1,[W1] form=entity || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] self-asserted; git author/committer and one forge account || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] S3: form is undocumented in notation,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Actor.identity,core-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.identity,"[W1] AC-OWNER,AC-COORD,AC-LEAD-1 || [W2] AC-01..AC-19",1,[W1] identity=actor_id; opaque ids in the instance || [W2] instantiated in vnc-045-instance.yaml,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] self-asserted; git author/committer and one forge account || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Actor.versioned,core-attr,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.versioned,"[W1] AC-LEAD-1,AC-LEAD-2 || [W2] AC-01..AC-19",1,"[W1] Actor is versioned:false, so the original and replacement leaders cannot be one identity with two revisions; encoded as AC-LEAD-1 and AC-LEAD-2, a choice the model does not force either way || [W2] instantiated in vnc-045-instance.yaml",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] see instance,[W1] self-asserted; git author/committer and one forge account || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W2] none - no common checker implements this model,[W1] still-open,construct-pressure,exercised,construct-pressure,divergent,"MATERIAL DIVERGENCE: one case carries the construct without strain and the other strains against it. Both stand: the `exercised` side is a witness that the construct can carry at least one history, the `construct-pressure` side is evidence the construct does not carry every history. Reconciled to `construct-pressure`; the positive witness is retained in `value`.",not-applicable,not-applicable,not-applicable,historical-evidence-gap|model-defect,"[W1] AC-LEAD-1 and AC-LEAD-2 share declared_identity 'research-leader' and operate the same Unit under two Delegations. Actor is versioned:false and its own open list names 'replacement and continuity'. The model cannot say whether these are one Actor or two, and the case cannot decide it either.",[W1] encoded as two Actors; the choice is unforced by the model,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,"[W1] one Actor with a lifecycle, or two Actors with a handover relation - the alphabet does not discriminate",not-applicable,not-applicable,not-applicable
core.Actor.definition,core-attr,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.definition,[W2] AC-01..AC-19,not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Actor.fields.name,core-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.fields.name,"[W1] AC-OWNER,AC-COORD,AC-LEAD-1,AC-LEAD-2,AC-RES-W1,AC-RES-W2 || [W2] AC-01..AC-19",1,"[W1] set on 24/24 instances || [W2] MEASURED 19/19 Actor objects populate `name` (AC-01, AC-02, AC-03, AC-04, AC-05, ...). Prior boilerplate witness replaced by the measurement.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] measured-join (vnc-045-instance.yaml),[W1] self-asserted; git author/committer and one forge account || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Actor.fields.actor_type,core-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.fields.actor_type,"[W1] AC-OWNER,AC-COORD,AC-LEAD-1,AC-LEAD-2,AC-RES-W1,AC-RES-W2 || [W2] AC-01..AC-19",1,"[W1] set on 24/24 instances || [W2] MEASURED 19/19 Actor objects populate `actor_type` (AC-01, AC-02, AC-03, AC-04, AC-05, ...). Prior boilerplate witness replaced by the measurement.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] measured-join (vnc-045-instance.yaml),[W1] self-asserted; git author/committer and one forge account || [W2] see instance,[W1] see instance + wfh-008-validate.py output || [W3] F-A05,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,exercised,exercised,agree,not-applicable (both workstreams agree),F-A05,rejected-mechanically,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Actor.fields.declared_identity,core-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.fields.declared_identity,"[W1] AC-OWNER,AC-LEAD-1,AC-LEAD-2,AC-RES-W1,AC-AUD-R1,AC-RWK-P1 || [W2] AC-02..AC-16,AC-19",1,"[W1] set on 22/22 Actors and NON-DISCRIMINATING: 15 Actors share the value ""factory-researcher"" and 2 share ""research-leader""; AC-OWNER has three identity strings across two stores and one field || [W2] STRONGEST FIELD-LEVEL WITNESS IN THE CASE. Every agent identity is a self-declared string in file content; the forge attests exactly one identity (dug-21/Doug) for author, committer, reviewer, merger and every comment. AC-19's Co-Authored-By trailer is the only agent identity inside a forge-held object and is still a self-declared trailer. · MEASURED 19/19 Actor objects populate `declared_identity`.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] forge,[W1] self-asserted; git author/committer and one forge account || [W2] GitHub/git,"[W1] see instance + wfh-008-validate.py output || [W2] I12,I17","[W1] specified-not-enforced || [W2] none - attribution is persisted self-assertion, exactly as the field's definition states",[W1] pressure,construct-pressure,exercised,construct-pressure,divergent,"MATERIAL DIVERGENCE: one case carries the construct without strain and the other strains against it. Both stand: the `exercised` side is a witness that the construct can carry at least one history, the `construct-pressure` side is evidence the construct does not carry every history. Reconciled to `construct-pressure`; the positive witness is retained in `value`.",not-applicable,not-applicable,not-applicable,model-defect|unresolved,"[W1] Actor.declared_identity is a single text field. AC-OWNER carries three identity strings across two custody stores (GitHub login dug-21; git author 'Doug Faist'; git committer 'dug-21 <angryweed@gmail.com>'). Separately, seven researchers, two auditors, four rework researchers and one corrections researcher share the single value 'factory-researcher', so declared_identity does not individuate an Actor at all - the only individuator in the instance is the Delegation's unit.",[W1] representable but non-discriminating,[W1] not-proposed,"[W1] a per-instance agent_id would individuate, but .claude/rules/unimatrix-access.md D6 rules the opposite explicitly; relitigating a ratified decision from outside its evidence is out of scope",not-applicable,not-applicable,not-applicable,[W1] yes,not-applicable,not-applicable,"[W1] whether the model should carry multiple declared identities per Actor, or the project should individuate, cannot be settled from one case and one standing decision",not-applicable,not-applicable,not-applicable
core.Actor.fields.lifecycle_state,core-field,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.fields.lifecycle_state,"[W1] AC-OWNER,AC-COORD,AC-LEAD-1,AC-LEAD-2,AC-RES-W1,AC-RES-W2 || [W2] AC-02..AC-16",1,[W1] set on 24/24 instances || [W2] missing-history for every agent Actor. Agents are per-Attempt spawns; nothing records their existence outside the Attempt.,[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] missing,[W1] self-asserted; git author/committer and one forge account || [W2] see instance,[W1] see instance + wfh-008-validate.py output,[W1] specified-not-enforced || [W2] none - no common checker implements this model,[W1] n/a,exercised,construct-pressure,construct-pressure,divergent,"MATERIAL DIVERGENCE: one case carries the construct without strain and the other strains against it. Both stand: the `exercised` side is a witness that the construct can carry at least one history, the `construct-pressure` side is evidence the construct does not carry every history. Reconciled to `construct-pressure`; the positive witness is retained in `value`.",not-applicable,not-applicable,not-applicable,historical-evidence-gap,"[W2] No artefact records an agent's lifecycle; the agent-definition files under .claude/agents/uni/ describe roles, not actor instances.",[W2] represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W2] true,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Actor.relations.has_skill,core-relation,model-X,"[W1] R01,R02,R03,R04,R05,R06,M01,M02,M06,T01,T02 || [W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.relations.has_skill,"[W1] AC-COORD,AC-LEAD-1,AC-LEAD-2,AC-RES-W1,AC-RES-W2,AC-RES-W3 || [W2] SK-01,SK-02,SK-03",1,"[W1] non-empty on 20/24; declared inverse, closed mechanically || [W2] Relation instantiable; ALL FOUR attributes (evidence_refs, grade, currentness, expires_at) are missing-history for every holder.",[W1] wfh-008 alphabet R + M01 as parsed + T01/T02 (ledgered transitive) || [W2] inference,[W1] self-asserted; git author/committer and one forge account || [W2] see instance,[W1] see instance + wfh-008-validate.py output || [W2] I10,[W1] mechanically checkable and checked,[W1] n/a,exercised,construct-pressure,construct-pressure,divergent,"MATERIAL DIVERGENCE: one case carries the construct without strain and the other strains against it. Both stand: the `exercised` side is a witness that the construct can carry at least one history, the `construct-pressure` side is evidence the construct does not carry every history. Reconciled to `construct-pressure`; the positive witness is retained in `value`.",not-applicable,not-applicable,not-applicable,historical-evidence-gap,"[W2] Nothing in the alphabet records competence evidence, a competence grade, currentness or expiry for any actor.",[W2] represented-with-gap,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,[W2] true,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
core.Actor.relations.has_skill.cardinality,core-relation-cardinality,model-X,"[W2] M01,M02,M06,S01-S06,T01-T03",core.Actor.relations.has_skill.cardinality,[W2] AC-01..AC-19,not-applicable,[W2] instantiated in vnc-045-instance.yaml,[W2] see instance,[W2] see instance,not-applicable,[W2] none - no common checker implements this model,not-applicable,not-enumerated,exercised,exercised,w1-not-enumerated,"W1 did not enumerate this X item. Its 468-row enumeration rolls relation sub-keys, per-invariant bindings, construct `definition` and registry seed-fields up into coarser rows; W2's 679-row enumeration matches the SCOPE X clause literally and is adopted as the canonical spine. Reconciled from W2 alone - absence is not filled.",not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable,not-applicable
